date,action,symbol,price,reason,pnl
2019-12-31,BUY,CVNA,92.05,momentum=185.2%,0.0
2019-12-31,BUY,PODD,171.2,momentum=147.7%,0.0
2019-12-31,BUY,TER,66.45,momentum=98.5%,0.0
2019-12-31,BUY,TTD,25.98,momentum=95.8%,0.0
2019-12-31,BUY,DXCM,54.69,momentum=94.4%,0.0
2020-01-02,SELL,PODD,169.77,below_50ma,-127.27
2020-01-02,BUY,LRCX,27.72,momentum=99.2%,0.0
2020-01-09,SELL,CVNA,86.57,trailing_stop,-1128.88
2020-01-09,BUY,PODD,180.68,momentum=140.1%,0.0
2020-01-31,SELL,TER,64.31,trailing_stop,-403.07
2020-01-31,BUY,CPRT,25.36,momentum=83.6%,0.0
2020-02-21,SELL,CPRT,23.81,below_50ma,-762.28
2020-02-21,BUY,CVNA,110.09,momentum=118.3%,0.0
2020-02-24,SELL,TTD,28.32,trailing_stop,911.43
2020-02-24,SELL,LRCX,27.95,trailing_stop,410.56
2020-02-24,BUY,LULU,246.21,momentum=61.8%,0.0
2020-02-24,BUY,RMD,161.34,momentum=61.2%,0.0
2020-02-25,SELL,LULU,238.81,below_50ma,-851.0
2020-02-25,BUY,HWM,23.98,momentum=66.9%,0.0
2020-02-26,SELL,PODD,180.01,trailing_stop,-71.69
2020-02-26,BUY,LDOS,102.07,momentum=62.8%,0.0
2020-02-27,SELL,CVNA,88.77,trailing_stop,-2259.92
2020-02-27,SELL,HWM,22.97,below_50ma,-1752.76
2020-02-27,BUY,CHTR,508.55,momentum=42.3%,0.0
2020-02-27,BUY,HSY,131.81,momentum=38.7%,0.0
2020-02-28,SELL,RMD,151.01,below_50ma,-950.05
2020-02-28,SELL,LDOS,94.55,below_50ma,-1497.52
2020-02-28,SELL,CHTR,493.17,below_50ma,-722.86
2020-02-28,SELL,HSY,124.9,below_50ma,-663.68
2020-02-28,BUY,PODD,189.97,momentum=108.7%,0.0
2020-02-28,BUY,TTD,28.73,momentum=42.3%,0.0
2020-02-28,BUY,NOW,65.22,momentum=40.3%,0.0
2020-02-28,BUY,NEM,37.37,momentum=38.4%,0.0
2020-03-02,SELL,PODD,181.51,below_50ma,-862.92
2020-03-02,BUY,LDOS,101.37,momentum=59.4%,0.0
2020-03-03,SELL,TTD,27.77,below_50ma,-495.29
2020-03-03,BUY,RMD,156.98,momentum=60.7%,0.0
2020-03-06,SELL,NOW,63.45,below_50ma,-306.21
2020-03-06,BUY,LITE,82.45,momentum=88.5%,0.0
2020-03-09,SELL,DXCM,66.63,trailing_stop,1791.75
2020-03-09,SELL,LDOS,89.83,trailing_stop,-4997.3
2020-03-09,SELL,RMD,146.78,trailing_stop,-1030.52
2020-03-09,SELL,LITE,73.44,trailing_stop,-1225.36
2020-03-09,BUY,BALL,67.54,momentum=39.3%,0.0
2020-03-09,BUY,DG,146.21,momentum=30.6%,0.0
2020-03-09,BUY,WMT,35.82,momentum=20.6%,0.0
2020-03-09,BUY,GIS,43.81,momentum=14.8%,0.0
2020-03-11,SELL,NEM,38.64,trailing_stop,294.0
2020-03-11,SELL,BALL,64.98,below_50ma,-668.56
2020-03-11,SELL,WMT,34.98,below_50ma,-239.51
2020-03-11,SELL,GIS,42.79,below_50ma,-182.94
2020-03-11,BUY,DXCM,63.1,momentum=68.1%,0.0
2020-03-11,BUY,GEN,15.71,momentum=57.4%,0.0
2020-03-11,BUY,TT,98.33,momentum=37.4%,0.0
2020-03-11,BUY,TMUS,83.12,momentum=30.8%,0.0
2020-03-12,SELL,DG,130.32,trailing_stop,-1461.86
2020-03-12,SELL,DXCM,61.91,below_50ma,-308.31
2020-03-12,SELL,GEN,15.19,below_50ma,-411.87
2020-03-12,SELL,TT,88.97,below_50ma,-899.02
2020-03-12,SELL,TMUS,73.8,trailing_stop,-810.56
2020-03-12,BUY,GILD,54.59,momentum=6.3%,0.0
2020-03-13,BUY,AMT,202.53,momentum=38.4%,0.0
2020-03-13,BUY,JKHY,149.55,momentum=24.1%,0.0
2020-03-13,BUY,GIS,43.28,momentum=15.7%,0.0
2020-03-16,SELL,AMT,171.82,trailing_stop,-184.27
2020-03-16,SELL,JKHY,137.52,below_50ma,-60.13
2020-03-17,BUY,NEM,38.46,momentum=42.0%,0.0
2020-03-17,BUY,COST,280.88,momentum=37.1%,0.0
2020-03-17,BUY,WMT,36.46,momentum=21.6%,0.0
2020-03-18,SELL,NEM,34.91,below_50ma,-88.8
2020-03-18,BUY,JKHY,147.44,momentum=29.8%,0.0
2020-03-19,SELL,GIS,43.44,trailing_stop,2.27
2020-03-19,SELL,COST,279.26,below_50ma,-3.24
2020-03-19,SELL,JKHY,138.09,below_50ma,-112.2
2020-03-20,SELL,WMT,34.99,below_50ma,-19.02
2020-03-20,BUY,GIS,43.19,momentum=10.3%,0.0
2020-03-23,SELL,GIS,38.26,trailing_stop,-379.49
2020-03-23,BUY,NFLX,36.03,momentum=0.7%,0.0
2020-03-24,BUY,NEM,39.89,momentum=43.2%,0.0
2020-03-25,SELL,GILD,55.45,trailing_stop,1170.86
2020-03-25,SELL,NFLX,34.24,below_50ma,-146.62
2020-03-25,BUY,ODFL,65.92,momentum=43.8%,0.0
2020-03-26,BUY,GEN,16.49,momentum=45.5%,0.0
2020-03-26,BUY,MPWR,167.13,momentum=18.0%,0.0
2020-03-26,BUY,GILD,58.79,momentum=17.3%,0.0
2020-03-27,SELL,ODFL,62.42,below_50ma,-3950.13
2020-03-27,SELL,MPWR,154.62,below_50ma,-62.54
2020-03-27,BUY,DXCM,65.74,momentum=131.7%,0.0
2020-03-27,BUY,NFLX,35.71,momentum=3.5%,0.0
2020-03-31,SELL,NEM,38.02,below_50ma,-7.46
2020-03-31,BUY,VRTX,237.95,momentum=22.0%,0.0
2020-04-01,SELL,VRTX,225.48,below_50ma,-997.6
2020-04-01,BUY,NEM,39.02,momentum=47.5%,0.0
2020-04-03,SELL,GEN,16.1,below_50ma,-29.44
2020-04-03,BUY,DG,148.89,momentum=30.4%,0.0
2020-04-07,SELL,DXCM,62.68,below_50ma,-1601.69
2020-04-07,BUY,GEN,16.67,momentum=32.4%,0.0
2020-05-15,SELL,GILD,60.7,below_50ma,19.1
2020-05-15,BUY,DXCM,104.43,momentum=174.0%,0.0
2020-05-26,SELL,NEM,49.72,trailing_stop,4996.08
2020-05-26,BUY,WST,202.99,momentum=71.8%,0.0
2020-05-27,SELL,DXCM,89.91,trailing_stop,-290.5
2020-05-27,BUY,NEM,49.32,momentum=101.1%,0.0
2020-06-03,SELL,NEM,47.24,below_50ma,-122.35
2020-06-03,BUY,DXCM,91.46,momentum=195.1%,0.0
2020-06-11,SELL,GEN,17.69,trailing_stop,1911.45
2020-06-11,BUY,DVA,79.95,momentum=61.1%,0.0
2020-06-12,SELL,NFLX,41.81,below_50ma,3084.07
2020-06-12,BUY,VRTX,268.56,momentum=62.7%,0.0
2020-06-15,SELL,VRTX,267.77,below_50ma,-63.99
2020-06-15,BUY,ODFL,78.95,momentum=61.5%,0.0
2020-06-17,SELL,DVA,78.24,below_50ma,-678.87
2020-06-17,BUY,PODD,193.83,momentum=62.1%,0.0
2020-06-18,SELL,PODD,189.5,below_50ma,-684.14
2020-06-18,BUY,MPWR,213.9,momentum=62.5%,0.0
