Symbol,Name,MarketCap_M,ROE(%),Price,MA50,MA_Momentum(%),Momentum_12_1,GrowthReason,Surprise(%),EPS_Growth(%)
ALL,Allstate,56719,39.47,216.34,208.73,3.65,0.0813,"Surprise: 43.7%, Growth: 103.2%",43.7,103.2
GOOGL,Alphabet Inc. (Class A),4069526,35.0,332.29,308.1,7.85,0.9941,"Surprise: 4.2%, Growth: 31.1%",4.2,31.1
GOOG,Alphabet Inc. (Class C),4069526,35.0,330.47,307.21,7.57,0.9482,"Surprise: 4.2%, Growth: 31.1%",4.2,31.1
APH,Amphenol,188060,35.77,151.93,138.1,10.02,0.9374,"Surprise: 2.9%, Growth: 57.6%",2.9,57.6
AON,Aon plc,71819,45.99,335.32,324.84,3.23,-0.1127,"Surprise: 1.4%, Growth: 138.3%",1.4,138.3
APA,APA Corporation,12705,24.51,37.6,34.93,7.63,1.5516,"Surprise: 40.4%, Growth: -17.7%",40.4,-17.7
APO,Apollo Global Management,73628,16.67,127.26,113.48,12.15,-0.0808,"Surprise: 19.3%, Growth: -57.3%",19.3,-57.3
AMAT,Applied Materials,313349,38.9,394.33,361.48,9.09,1.6049,"Surprise: 5.9%, Growth: 75.2%",5.9,75.2
APP,AppLovin,165590,249.18,473.18,433.14,9.24,0.861,"Surprise: 9.5%, Growth: 84.7%",9.5,84.7
ACGL,Arch Capital Group,34733,19.02,98.85,96.73,2.19,-0.007,"Surprise: 12.7%, Growth: 38.8%",12.7,38.8
ANET,Arista Networks,210608,31.01,172.86,137.65,25.58,0.9109,"Surprise: 6.2%, Growth: 21.0%",6.2,21.0
BALL,Ball Corporation,17042,16.91,63.36,62.99,0.59,0.197,"Surprise: -0.0%, Growth: 781.8%",-0.0,781.8
BBY,Best Buy,13947,38.54,66.59,63.62,4.67,0.031,"Surprise: 4.8%, Growth: 372.5%",4.8,372.5
BX,Blackstone Inc.,157660,36.17,128.5,117.48,9.38,-0.0858,"Surprise: 10.7%, Growth: 41.3%",10.7,41.3
BA,Boeing,174025,150.72,219.16,219.11,0.02,0.2006,"Surprise: -179.1%, Growth: 287.4%",-179.1,287.4
BKNG,Booking Holdings,152056,139.63,190.86,172.51,10.64,-0.0524,"Surprise: -1.3%, Growth: 38.4%",-1.3,38.4
BMY,Bristol Myers Squibb,121493,39.28,59.39,59.34,0.08,0.199,"Surprise: 11.9%, Growth: 1225.0%",11.9,1225.0
AVGO,Broadcom,1892115,32.85,402.17,336.2,19.62,0.842,"Surprise: -0.9%, Growth: 31.6%",-0.9,31.6
BF-B,Brown–Forman,13520,19.93,28.75,27.07,6.2,-0.3211,"Surprise: 22.6%, Growth: 1.3%",22.6,1.3
CVNA,Carvana,88077,62.85,400.92,331.87,20.81,0.3271,"Surprise: -5.5%, Growth: 653.6%",-5.5,653.6
CASY,Casey's,28193,17.55,781.82,697.53,12.08,0.4435,"Surprise: 14.5%, Growth: 49.8%",14.5,49.8
CBOE,Cboe Global Markets,31884,22.99,299.25,289.74,3.28,0.3334,"Surprise: 2.1%, Growth: 60.5%",2.1,60.5
CF,CF Industries,18230,29.95,121.31,115.09,5.41,0.6919,"Surprise: 24.9%, Growth: 37.1%",24.9,37.1
CINF,Cincinnati Financial,25768,16.13,166.46,162.12,2.68,0.2118,"Surprise: 14.3%, Growth: 67.6%",14.3,67.6
CSCO,Cisco,346445,23.64,89.7,79.98,12.16,0.4355,"Surprise: -0.2%, Growth: 31.2%",-0.2,31.2
FIX,Comfort Systems USA,59353,48.52,1674.16,1434.32,16.72,2.9978,"Surprise: 37.3%, Growth: 38.8%",37.3,38.8
STZ,Constellation Brands,27645,22.08,156.95,155.21,1.12,-0.1791,"Surprise: 0.4%, Growth: 155.5%",0.4,155.5
COST,Costco,443076,28.81,1005.81,995.16,1.07,-0.0016,"Surprise: -1.5%, Growth: 45.5%",-1.5,45.5
CRH,CRH plc,78541,16.54,117.36,112.68,4.16,0.1808,"Surprise: -2.4%, Growth: 48.4%",-2.4,48.4
CMI,Cummins,87981,24.13,638.99,573.77,11.37,0.9471,"Surprise: -17.2%, Growth: 41.4%",-17.2,41.4
DECK,Deckers Brands,15727,41.36,110.17,107.98,2.03,-0.0563,"Surprise: 18.1%, Growth: 11.0%",18.1,11.0
DELL,Dell Technologies,131888,130.7,212.36,155.16,36.87,0.8979,"Surprise: 8.1%, Growth: 57.3%",8.1,57.3
DAL,Delta Air Lines,46502,23.14,70.22,66.59,5.45,0.592,"Surprise: 10.7%, Growth: -218.9%",10.7,-218.9
EME,Emcor,37014,39.13,838.01,763.71,9.73,0.9452,"Surprise: 43.4%, Growth: 53.0%",43.4,53.0
EXPE,Expedia Group,33481,114.29,273.8,230.29,18.9,0.5504,"Surprise: 10.4%, Growth: -27.3%",10.4,-27.3
FFIV,"F5, Inc.",18004,20.29,315.56,287.92,9.6,0.1158,"Surprise: 19.5%, Growth: 9.9%",19.5,9.9
FDX,FedEx,94072,15.76,394.59,368.24,7.16,0.7758,"Surprise: 25.7%, Growth: 17.3%",25.7,17.3
FOXA,Fox Corporation (Class A),26082,16.22,64.31,58.99,9.03,0.211,"Surprise: 61.7%, Growth: -35.8%",61.7,-35.8
FOX,Fox Corporation (Class B),26082,16.22,57.63,53.45,7.83,0.1774,"Surprise: 61.7%, Growth: -35.8%",61.7,-35.8
GRMN,Garmin,51340,19.72,265.49,240.98,10.17,0.2339,"Surprise: 14.2%, Growth: 21.2%",14.2,21.2
GEV,GE Vernova,266883,52.35,991.3,875.97,13.17,1.6158,"Surprise: -7.4%, Growth: 671.7%",-7.4,671.7
GDDY,GoDaddy,11662,384.19,88.6,85.82,3.24,-0.5012,"Surprise: 11.8%, Growth: 31.7%",11.8,31.7
HIG,Hartford (The),38258,21.37,139.15,137.83,0.96,0.1359,"Surprise: 25.0%, Growth: 38.2%",25.0,38.2
HWM,Howmet Aerospace,102488,29.67,247.72,246.12,0.65,0.8647,"Surprise: 7.7%, Growth: 20.3%",7.7,20.3
IBM,IBM,237370,36.87,255.68,248.99,2.69,0.0286,"Surprise: 3.6%, Growth: 89.9%",3.6,89.9
IBKR,Interactive Brokers,137828,19.88,79.62,71.28,11.7,0.6715,"Surprise: -2.2%, Growth: 26.6%",-2.2,26.6
IQV,IQVIA,29996,22.28,175.69,170.97,2.76,0.1564,"Surprise: -0.3%, Growth: 23.6%",-0.3,23.6
JBHT,J.B. Hunt,23744,17.3,251.09,219.83,14.22,0.5728,"Surprise: 1.4%, Growth: 27.4%",1.4,27.4
JBL,Jabil,34845,58.99,333.68,270.82,23.21,0.9065,"Surprise: 6.2%, Growth: 96.2%",6.2,96.2
JCI,Johnson Controls,86289,23.52,139.72,137.19,1.84,0.7044,"Surprise: 4.9%, Growth: 34.2%",4.9,34.2
KEYS,Keysight Technologies,57946,16.56,339.3,287.25,18.12,1.0541,"Surprise: 6.6%, Growth: 68.0%",6.6,68.0
KLAC,KLA Corporation,236635,95.22,1785.37,1532.78,16.48,1.3729,"Surprise: -1.4%, Growth: 40.9%",-1.4,40.9
LRCX,Lam Research,324944,62.59,258.37,233.14,10.82,2.6237,"Surprise: 6.4%, Growth: 37.0%",6.4,37.0
LVS,Las Vegas Sands,37913,82.89,57.54,55.22,4.21,0.592,"Surprise: 10.9%, Growth: 29.3%",10.9,29.3
LITE,Lumentum,63911,27.64,836.92,717.1,16.71,12.6783,"Surprise: 17.4%, Growth: 201.1%",17.4,201.1
MA,Mastercard,457870,198.48,511.35,509.55,0.35,-0.0549,"Surprise: 8.8%, Growth: 28.1%",8.8,28.1
MU,Micron Technology,509860,40.84,449.38,408.71,9.95,5.0352,"Surprise: 27.3%, Growth: 756.0%",27.3,756.0
MSFT,Microsoft,3157006,33.61,424.16,393.09,7.9,0.049,"Surprise: 2.6%, Growth: 59.8%",2.6,59.8
MCO,Moody's Corporation,82770,62.81,459.59,443.6,3.61,0.0202,"Surprise: 5.4%, Growth: 57.6%",5.4,57.6
MS,Morgan Stanley,299979,15.45,189.31,169.72,11.54,0.5021,"Surprise: 10.9%, Growth: 31.9%",10.9,31.9
NDAQ,"Nasdaq, Inc.",49898,15.02,87.6,85.09,2.95,0.2022,"Surprise: 3.0%, Growth: 47.5%",3.0,47.5
NFLX,Netflix,392569,49.24,92.58,92.44,0.15,-0.1174,"Surprise: -10.2%, Growth: 86.4%",-10.2,86.4
NDSN,Nordson Corporation,15793,17.3,282.72,278.03,1.69,0.4553,"Surprise: -2.2%, Growth: 44.2%",-2.2,44.2
NSC,Norfolk Southern,73973,19.16,302.22,300.07,0.72,0.3037,"Surprise: 15.4%, Growth: -11.2%",15.4,-11.2
NVDA,Nvidia,4889892,104.37,199.88,184.19,8.52,0.7468,"Surprise: 3.6%, Growth: 95.6%",3.6,95.6
ORCL,Oracle Corporation,525281,57.35,181.17,152.73,18.62,0.184,"Surprise: 3.1%, Growth: 24.5%",3.1,24.5
PLTR,Palantir Technologies,348922,25.66,145.97,143.97,1.39,0.6031,"Surprise: 6.5%, Growth: 698.8%",6.5,698.8
PANW,Palo Alto Networks,141360,15.49,174.96,160.91,8.73,-0.0042,"Surprise: 7.2%, Growth: 60.5%",7.2,60.5
PYPL,PayPal,47377,25.87,50.88,45.17,12.64,-0.2796,"Surprise: -6.1%, Growth: 37.8%",-6.1,37.8
RL,Ralph Lauren Corporation,23587,34.74,386.77,357.13,8.3,0.5879,"Surprise: 3.9%, Growth: 24.9%",3.9,24.9
ROK,Rockwell Automation,46594,27.69,410.04,383.13,7.02,0.5381,"Surprise: 5.4%, Growth: 67.1%",5.4,67.1
STX,Seagate Technology,117705,129.19,559.9,426.99,31.13,4.5176,"Surprise: 9.4%, Growth: 67.7%",9.4,67.7
SPG,Simon Property Group,66992,146.73,204.76,193.75,5.68,0.2853,"Surprise: 1.1%, Growth: 358.1%",1.1,358.1
TPR,"Tapestry, Inc.",31101,63.26,150.5,148.66,1.24,1.2015,"Surprise: 19.8%, Growth: 94.2%",19.8,94.2
TEL,TE Connectivity,72924,16.5,243.18,218.8,11.14,0.4837,"Surprise: 6.9%, Growth: 44.4%",6.9,44.4
TER,Teradyne,58741,19.88,379.93,320.13,18.68,3.0947,"Surprise: -0.4%, Growth: 81.1%",-0.4,81.1
TJX,TJX Companies,176968,59.53,159.25,158.02,0.78,0.2479,"Surprise: 1.9%, Growth: 27.9%",1.9,27.9
TRV,Travelers Companies (The),63721,24.14,301.42,299.42,0.67,0.153,"Surprise: 7.9%, Growth: 357.6%",7.9,357.6
VRT,Vertiv,120293,40.26,312.44,261.99,19.25,2.5672,"Surprise: 5.1%, Growth: 200.0%",5.1,200.0
WST,West Pharmaceutical Services,19613,16.68,274.72,249.82,9.97,0.1057,"Surprise: 10.2%, Growth: 2.1%",10.2,2.1
WDC,Western Digital,127343,62.71,383.81,296.75,29.34,7.0252,"Surprise: 10.0%, Growth: 189.6%",10.0,189.6
YUM,Yum! Brands,44842,117.64,160.34,160.07,0.17,0.0991,"Surprise: -3.3%, Growth: 28.2%",-3.3,28.2
